1,1,0.0663,0.00016667,0.0478,0.0509,1.1189,1.1048,0.9917,-0.12855,6.2778,0.00088409,0.0489,0.0085,0.0084
1,1,0.1154,-0.0014333,0.0491,0.0475,1.2291,0.96144,0.91026,-0.41404,23.765,0.0028066,0.0471,0.0087,0.007
1,1,0.1645,-0.00083333,0.0491,0.0497,0.95625,0.85658,0.74859,-0.66303,12.368,0.0015699,0.0513,0.0107,0.0096
1,1,0.2142,-0.0010333,0.0497,0.0495,1.2085,1.0502,0.51783,-0.85548,10.072,0.00071098,0.0517,0.0091,0.0078
1,1,0.2634,-0.0014333,0.0492,0.0488,1.1878,0.87433,0.24327,-0.96996,39.308,0.003417,0.0468,0.0066,0.0049
1,1,0.3143,-0.0021333,0.0509,0.0502,1.396,1.0666,-0.063125,-0.99801,40.267,0.0049619,0.0519,0.0107,0.0083
1,1,0.3634,-0.0022333,0.0491,0.049,0.64399,0.44469,-0.35334,-0.93549,26.779,0.0031636,0.0612,0.0079,0.0054
1,1,0.4129,-0.00073333,0.0495,0.051,NaN,NaN,-0.61434,-0.78904,50.614,0.004898,NaN,NaN,NaN
1,1,0.4629,-0.0011333,0.05,0.0496,1.7758,1.6231,-0.82204,-0.56943,35.588,0.0033988,0.0574,0.0159,0.0145
1,1,0.5136,-0.0011333,0.0507,0.0507,1.0767,0.91909,-0.95589,-0.29373,30.126,0.003426,0.0497,0.0092,0.0078
1,1,0.5636,-0.0019333,0.05,0.0492,1.2269,0.94412,-0.99999,0.0053161,34.443,0.0037975,0.0505,0.0095,0.0073
1,1,0.6128,-0.00083333,0.0492,0.0503,1.1934,1.0314,-0.95418,0.29924,43.645,0.0041255,0.0486,0.0082,0.0071
1,1,0.6631,-0.00043333,0.0503,0.0507,NaN,NaN,-0.82013,0.57218,11.648,0.0018189,NaN,NaN,NaN
1,1,0.7132,-0.0012333,0.0501,0.0493,NaN,NaN,-0.61121,0.79147,44.941,0.0045768,NaN,NaN,NaN
1,1,0.7636,-0.00093333,0.0504,0.0507,1.2547,1.1717,-0.34452,0.93878,NaN,0.001326,0.0603,0.0156,0.0144
1,1,0.966,0.00046667,0.0497,0.0485,1.8358,1.859,0.76856,0.63977,-17.542,-0.0018852,0.0529,0.0153,0.0155
1,1,1.0155,0.00056667,0.0495,0.0496,1.6695,1.7139,0.92346,0.3837,-6.2273,-0.00057209,0.0461,0.0119,0.0122
1,1,1.0661,0.00046667,0.0506,0.0505,1.8891,1.9125,0.99624,0.086609,-15.136,-0.0021385,0.0499,0.0164,0.0166
1,1,1.1153,0.0016667,0.0492,0.0504,2.0218,2.1915,0.97764,-0.21028,-9.4059,-0.0017251,0.0517,0.0157,0.0171
1,1,1.1638,0.0023667,0.0485,0.0492,1.5646,1.8351,0.87459,-0.48486,-18.241,-0.0007306,0.0495,0.0125,0.0146
1,1,1.2163,-0.00093333,0.0525,0.0492,1.9353,1.7834,0.67869,-0.73442,-6.1183,-0.00015816,0.0518,0.0155,0.0143
1,1,1.2661,-0.00053333,0.0498,0.0502,1.4133,1.3303,0.42934,-0.90314,-18.349,-0.0017564,0.049,0.0135,0.0127
1,1,1.3148,-0.00013333,0.0487,0.0491,2.5496,2.5052,0.14767,-0.98904,16.507,0.00087346,0.0525,0.0132,0.0128
1,1,1.3668,-0.00053333,0.052,0.0516,1.4521,1.3549,-0.16659,-0.98603,16.19,0.0019781,0.0513,0.0127,0.0119
1,1,1.4183,-0.0023333,0.0515,0.0497,1.4188,1.1481,-0.4617,-0.88704,9.6053,0.00074967,0.0556,0.0129,0.0103
1,1,1.4694,-0.0019333,0.0511,0.0515,1.132,0.82271,-0.71037,-0.70383,22.94,0.0023096,0.0444,0.0084,0.0062
1,1,1.518,6.6667e-05,0.0486,0.0506,1.4402,1.4182,-0.88429,-0.46694,3.9874,0.00084734,0.0522,0.0126,0.0124
1,1,1.5668,-0.00043333,0.0488,0.0483,1.5523,1.437,-0.98207,-0.18854,23.908,0.0020379,0.0466,0.0092,0.0085
1,1,1.6167,-0.0010333,0.0499,0.0493,1.4632,1.3086,-0.9936,0.11292,10.666,0.0015929,0.052,0.0125,0.0112
1,1,1.6669,-0.0024333,0.0502,0.0488,1.2329,0.92285,-0.91398,0.40576,NaN,0.0014081,0.052,0.0107,0.008
1,1,1.8155,-0.00013333,0.05,0.0509,0.40275,0.34949,-0.24853,0.96862,13.559,0.00093184,0.0368,0.0031,0.0027
1,1,1.8674,-0.0027333,0.0519,0.0493,2.4036,2.0098,0.063759,0.99797,1.4206,-0.0010958,0.0479,0.0182,0.0152
1,1,1.9144,0.0013667,0.047,0.0511,1.8832,2.0039,0.34199,0.9397,-3.5627,-0.0011231,0.0546,0.0173,0.0184
1,1,1.9628,0.00046667,0.0484,0.0475,1.3859,1.4113,0.59941,0.80044,-26.334,-0.0024769,0.0494,0.0111,0.0113
1,1,2.012,0.0020667,0.0492,0.0508,1.4513,1.6848,0.80835,0.5887,-19.074,-0.0016495,0.0458,0.0109,0.0127
1,1,2.0611,0.00046667,0.0491,0.0475,1.7791,1.8038,0.94556,0.32544,-24.299,-0.0030536,0.0477,0.0142,0.0144
1,1,2.1094,0.0022667,0.0483,0.0501,2.0176,2.2674,0.99926,0.038342,-13.773,-0.0019397,0.0513,0.0148,0.0168
1,1,2.1576,0.00076667,0.0482,0.0467,1.4194,1.4832,0.96787,-0.25144,-16.689,-0.0023464,0.0469,0.0117,0.0122
1,1,2.2048,0.00066667,0.0472,0.0471,1.5555,1.6066,0.85739,-0.51466,-18.644,-0.001519,0.0498,0.012,0.0124
