7,1,2.7151,0.00024643,0.0433,0.0439,2.256,2.3882,-0.72159,0.69232,1.3945,-3.7159e-05,0.046,0.0166,0.0175
7,1,2.7597,0.0013464,0.0446,0.0457,1.9276,2.1882,-0.50996,0.8602,-10.842,-0.0006237,0.0437,0.0152,0.0172
7,1,2.8041,-0.00045357,0.0444,0.0426,2.765,2.7964,-0.26228,0.96499,10.11,0.00013804,0.0409,0.0159,0.0161
7,1,2.8472,-0.00025357,0.0431,0.0433,2.2718,2.3212,-0.0035374,0.99999,-1.0851,-4.3802e-05,0.0493,0.0181,0.0185
7,1,2.8884,-0.00055357,0.0412,0.0409,1.4698,1.4853,0.24427,0.96971,10.843,0.00050543,0.0421,0.01,0.0101
7,1,2.9286,-0.00015357,0.0402,0.0406,1.0733,1.1389,0.47151,0.88186,-4.3331,-0.00036132,0.0465,0.0081,0.0086
7,1,2.9671,0.00064643,0.0385,0.0393,0.015218,0.22112,0.66306,0.74856,11.887,0.00096008,0.036,0.0001,0.0014
7,1,3.0048,-0.00025357,0.0377,0.0368,0.26021,0.32069,0.81571,0.57847,8.8229,0.00083289,0.04,0.0018,0.0022
7,1,3.0442,0.00054643,0.0394,0.0402,0.17398,0.35292,0.9296,0.36858,5.779,0.00050412,0.0427,0.0012,0.0024
7,1,3.0842,-0.00035357,0.04,0.0391,-0.25433,-0.22091,0.99097,0.13406,15.063,0.0014358,0.0377,-0.0015,-0.0012
7,1,3.1237,-5.3571e-05,0.0395,0.0398,0.042498,0.128,0.99444,-0.10532,6.4713,0.0011853,0.0421,0.0003,0.0009
7,1,3.1611,0.0010464,0.0374,0.0385,NaN,NaN,0.94515,-0.32663,20.246,0.00081071,NaN,NaN,NaN
7,1,3.2022,0.00084643,0.0411,0.0409,0.48096,0.72764,0.83512,-0.55006,16.089,0.0013692,0.0398,0.003,0.0045
7,1,3.2414,-0.00065357,0.0392,0.0377,0.33673,0.33673,0.68179,-0.73155,-1.459,0.00021356,0.0436,0.0024,0.0024
7,1,3.28,0.0018464,0.0386,0.0411,-0.46055,-0.02785,0.49314,-0.86995,17.188,0.00074076,0.0362,-0.0026,-0.0001
7,1,3.322,0.00064643,0.042,0.0408,0.47932,0.67989,0.25759,-0.96625,10.461,0.0005084,0.0405,0.0032,0.0045
